alert_id,cause,effect,header_text,description_text,severity,start,end_time
390223,MAINTENANCE,ACCESSIBILITY_ISSUE,Courthouse Escalator 415 (Airport/Design Center platform to lobby) unavailable due to ongoing construction at the station. ,,INFO,2021-05-25 21:08:00,
390224,MAINTENANCE,ACCESSIBILITY_ISSUE,Courthouse Escalator 417 (Airport/Design Center platform to south lobby) unavailable due to ongoing construction at the station. ,,INFO,2021-05-25 21:08:00,
416078,UNKNOWN_CAUSE,OTHER_EFFECT,Lynn Parking Garage arcade stairs 1 and 2 are closed until further notice due to structural issues. Customers may exit the garage via elevators to the ground level or by using the south stairs located on the Market street side of the garage.,Vehicular access to the upper 2 levels of the garage is restricted. The garage has sufficient parking capacity to accommodate daily demand.,WARNING,2021-11-04 19:14:00,
428140,CONSTRUCTION,OTHER_EFFECT,"The Upper Parking Lot at Worcester Station is closed with the exception to accessible parking, due to construction.",,INFO,2022-01-24 20:41:00,
435698,MAINTENANCE,ACCESSIBILITY_ISSUE,Bowdoin Escalator 125 (Lobby to street) is unavailable until further notice pending replacement. ,"The escalator will remain out of service for the foreseeable future. This decision was made after a thorough inspection determined that corrosion on the escalator’s steel truss was so severe that it could not be repaired further and that a complete replacement of the escalator would be required. Replacing the escalator at this location requires a more extended unit meeting modern escalator safety requirements. This longer unit will require significant alteration to the station entrance to meet code requirements. The MBTA has currently begun design work to understand what station upgrades will be needed. 
  
Due to these complexities, we expect the escalator will remain out of service for a significant time. We recognize the challenges this poses to our riders, and please know we are working to identify a solution as quickly as possible. In the meantime, Government Center Station, which is fully accessible and serves the Blue Line, is under a quarter-mile from Bowdoin Station. 
",WARNING,2022-03-15 14:13:00,
490115,MAINTENANCE,ACCESSIBILITY_ISSUE,Andrew Escalator 123 (Ashmont/Braintree platform to busway) is unavailable until further notice pending replacement.,,WARNING,2023-03-22 14:20:00,
507767,UNKNOWN_CAUSE,UNKNOWN_EFFECT,The Riverside Ave entrance at Campello Station is currently closed. Passengers may continue to use the Plain St entrance.,"Affected lines:
Fall River/New Bedford Line",INFO,2023-06-30 19:29:00,
510258,MAINTENANCE,ACCESSIBILITY_ISSUE,Ruggles Escalator 136 (Orange Line platform to upper lobby) unavailable due to maintenance,,WARNING,2023-07-14 15:15:00,
577252,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,Oak Grove Escalator 105 (Commuter Rail platform to unpaid lobby) unavailable,,WARNING,2024-06-13 13:04:00,
580278,UNKNOWN_CAUSE,UNKNOWN_EFFECT,Hingham/Hull Ferry: Portions of the Town of Hull parking lot at the Hull ferry terminal are blocked off for sewer pump station construction work through 2025. More information is available at https://www.town.hull.ma.us/,,WARNING,2024-06-27 12:33:00,
625657,CONSTRUCTION,DETOUR,"Route 426 outbound is detoured nightly, Sunday through Thursday, from 7 PM to end of service for construction. Connect at: Market Sq @ Western Ave & S Common St @ Market St.","Affected direction: Outbound

Affected stops:
S Common St @ Caggiano Plaza
S Common St @ Blossom St",SEVERE,2025-07-20 23:00:00,2025-07-21 06:59:00
625935,UNKNOWN_CAUSE,UNKNOWN_EFFECT,Littleton/Route 495 passengers can expect occasional traffic and detours accessing the station due to the Foster Street reconstruction work. ,"Scheduled to complete sometime in 2027, the Reconstruction of Foster Street includes widening and resurfacing with the addition of bicycle lanes.  ",INFO,2025-02-05 19:49:00,
630009,UNKNOWN_CAUSE,UNKNOWN_EFFECT,There is no accessible path connecting the inbound and outbound platforms at Wellesley Square Station. The existing path includes steep slopes and is long. Designs are underway to provide for a fully compliant pathway.,"There are accessible mini-high platforms at the Western end of both the Track 1 and Track 2 sides. However, the existing pedestrian path between the two sides is long and includes steep slopes, especially on the Crest Road bridge over the tracks. Designs are underway to provide for a fully compliant pathway. ",INFO,2025-02-28 19:07:00,
634987,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,State Escalator 6 (Oak Grove platform to Old State House lobby) unavailable,,WARNING,2025-03-31 12:37:00,
